Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
AAPL,ST,APPLE INC.,2021-12-30,Sale,"$500,001 - $1,000,000",NEW,,"CONTRIBUTION OF 3,000 SHARES HELD PERSONALLY TO TRINITY COLLEGE.",Nancy Pelosi,P000197,2022-01-12,D, CA12,House,,2022-01-13,0.914793979188538,California,2023-11-16
AAPL,ST,APPLE INC.,2021-12-30,Sale,"$500,001 - $1,000,000",NEW,,"CONTRIBUTION OF 3,000 SHARES HELD PERSONALLY TO THE PAUL F. PELOSI ENDOWED FUND AT GEORGETOWN UNIVERSITY.",Nancy Pelosi,P000197,2022-01-12,D, CA12,House,,2022-01-13,0.914793979188538,California,2023-11-16
AAPL,ST,APPLE INC.,2021-12-22,Purchase,"$1,001 - $15,000",NEW,CHARLES SWABB ACCOUNT,,Bob Gibbs,G000563,2021-12-23,R, OH07,House,,2021-12-24,0.486894641546797,Ohio,2023-11-16
BA,ST,BOEING COMPANY,2021-12-22,Sale,"$15,001 - $50,000",NEW,CHARLES SWABB ACCOUNT,,Bob Gibbs,G000563,2021-12-23,R, OH07,House,,2021-12-24,-58.2857827704187,Ohio,2023-11-16
T,ST,AT&T INC.,2021-12-22,Purchase,"$1,001 - $15,000",NEW,CHARLES SWABB ACCOUNT,,Bob Gibbs,G000563,2021-12-23,R, OH07,House,,2021-12-24,-37.6924357776888,Ohio,2023-11-16
MU,OP,"MICRON TECHNOLOGY, INC.",2021-12-21,Purchase,"$250,001 - $500,000",NEW,,PURCHASED 100 CALL OPTIONS WITH A STRIKE PRICE OF $50 AND AN EXPIRATION DATE OF 9/16/22.,Nancy Pelosi,P000197,2021-12-29,D, CA12,House,,2021-12-30,-18.7844581199046,California,2023-11-16
CRM,OP,SALESFORCE.COM INC,2021-12-20,Purchase,"$500,001 - $1,000,000",NEW,,PURCHASED 100 CALL OPTIONS WITH A STRIKE PRICE OF $210 AND AN EXPIRATION DATE OF 1/20/23.,Nancy Pelosi,P000197,2021-12-29,D, CA12,House,,2021-12-30,7.44694757283568,California,2023-11-16
CRM,OP,SALESFORCE.COM INC,2021-12-20,Purchase,"$100,001 - $250,000",NEW,,PURCHASED 30 CALL OPTIONS WITH A STRIKE PRICE OF $210 AND AN EXPIRATION DATE OF 1/20/23.,Nancy Pelosi,P000197,2021-12-29,D, CA12,House,,2021-12-30,7.44694757283568,California,2023-11-16
RBLX,OP,ROBLOX CORPORATION CLASS A,2021-12-20,Purchase,"$250,001 - $500,000",NEW,,PURCHASED 100 CALL OPTIONS WITH A STRIKE PRICE OF $100 AND AN EXPIRATION DATE OF 1/20/23.,Nancy Pelosi,P000197,2021-12-29,D, CA12,House,,2021-12-30,-76.938332122216,California,2023-11-16
GOOG,OP,ALPHABET INC. - CLASS C CAPITAL STOCK,2021-12-17,Purchase,"$500,001 - $1,000,000",NEW,,PURCHASED 10 CALL OPTIONS WITH A STRIKE PRICE OF $2000 AND AN EXPIRATION DATE OF 9/16/22.,Nancy Pelosi,P000197,2021-12-29,D, CA12,House,,2021-12-30,-2.9783101292409,California,2023-11-16
